ds,yhat,yhat_lower,yhat_upper,country,alert
2023-03-13,-24205.16866287937,-66652.73097002417,21122.470899236192,France,Normal
2023-03-14,-23823.844409609414,-67397.2988991128,21062.78326579651,France,Normal
2023-03-15,-23732.321437706178,-66845.6395317143,21144.529852413652,France,Normal
2023-03-16,-23105.381635945378,-70845.01863654506,17735.77607984711,France,Normal
2023-03-17,-22543.480779426718,-65616.2663118258,21289.66468668342,France,Normal
2023-03-18,-21688.78574543929,-68346.83330583131,21298.370405988102,France,Normal
2023-03-19,-20720.886270671414,-64476.61754528876,23724.944476651523,France,Normal
2023-03-20,-19639.137255265457,-64293.81368002066,24676.057814250235,France,Normal
2023-03-21,-18457.01855428638,-61318.416715594394,27694.94031928417,France,Normal
2023-03-22,-17591.322661797127,-62096.01745733345,27161.528255004,France,Normal
2023-03-23,-16234.492614872894,-63115.98850189148,26693.930406916697,France,Normal
2023-03-24,-15005.023797359285,-58330.64793072695,29763.06658025817,France,Normal
2023-03-25,-13562.972922360797,-61955.13294985554,28172.729263404723,France,Normal
2023-03-26,-12105.142328982402,-60701.525852322644,29827.042326457366,France,Normal
2023-03-27,-10646.910403661062,-51735.99873332185,36368.3040065933,France,Normal
2023-03-28,-9216.109286116254,-52519.669932742436,37540.859049804916,France,Normal
2023-03-29,-8241.773515751427,-50902.72456972709,34742.35749525313,France,Normal
2023-03-30,-6926.093876293062,-50795.862368879425,37076.022083714786,France,Normal
2023-03-31,-5894.500417996895,-48161.62456392051,40005.344121137285,France,Normal
2023-04-01,-4810.926344193089,-45574.45396848886,38566.97896571994,France,Normal
2023-04-02,-3872.8272071557512,-47919.20029470106,44098.198223562584,France,Normal
2023-04-03,-3092.930290242861,-48386.37470680979,40638.80265109591,France,Normal
2023-04-04,-2493.1170778070664,-50119.028719571696,41169.58999329055,France,Normal
2023-04-05,-2493.2618685801644,-48725.81903252067,41975.90146195919,France,Normal
2023-04-06,-2283.357896163863,-47394.93814715108,41005.1299336077,France,Normal
2023-04-07,-2473.8498579674924,-45576.58778353072,41476.664151078934,France,Normal
2023-04-08,-2711.217445215745,-46513.60734572559,43717.44453737794,France,Normal
2023-04-09,-3173.375430242497,-49552.472182057296,41274.234763461,France,Normal
2023-04-10,-3851.854770748734,-45886.210238620304,39360.286603813736,France,Normal
2023-04-11,-4746.155991488111,-49894.10781646498,39855.71164130501,France,Normal
2023-04-12,-6253.08536733349,-49880.213394028026,36374.936394304044,France,Normal
2023-04-13,-7539.392201072213,-51362.05016452423,34428.76997375916,France,Normal
2023-04-14,-9192.612849576482,-55278.41590289092,38571.565609481724,France,Normal
2023-04-15,-10837.153025992848,-57946.310357749964,35244.635932842495,France,Normal
2023-04-16,-12630.161400744717,-59573.36998367798,32751.56054079917,France,Normal
2023-04-17,-14544.147287654187,-61005.14936740604,28452.697732320357,France,Normal
2023-04-18,-16561.72316128059,-60396.9796951051,28105.873632606097,France,Normal
2023-04-19,-19065.273436157477,-63765.886758968634,27498.051810680114,France,Normal
2023-04-20,-21209.86034754634,-67169.40701049987,21381.81092200123,France,Normal
2023-04-21,-23574.26694235062,-71510.99730249326,23054.04999174991,France,Normal
2023-04-22,-25777.20498841062,-68167.729789907,18138.18927194393,France,Normal
2023-04-23,-27973.239093002718,-72827.29898333288,13342.590900415657,France,Normal
2023-04-24,-30135.380078027676,-74067.26759005574,15812.815320761294,France,Normal
2023-04-25,-32249.730564148176,-80673.08751766654,13320.235913580565,France,Normal
2023-04-26,-34704.98824458948,-79822.63503143258,11211.449107643322,France,Normal
2023-04-27,-36665.12343300796,-81085.29189319708,7144.018042772881,France,Normal
2023-04-28,-38720.138140832256,-82687.72935422404,7723.274457207234,France,Normal
2023-04-29,-40501.94301238073,-81386.56322966237,5156.014190472514,France,Normal
2023-04-30,-42179.91294159315,-84315.71686836473,2720.103592096638,France,Normal
2023-05-01,-43743.08468429958,-89689.72624330808,1516.7737725194065,France,Normal
2023-05-02,-45194.390122354685,-89325.03426371653,-1076.7138004155072,France,Normal
2023-05-03,-46939.74150385647,-90686.23168987324,-5232.306055757258,France,Normal
2023-05-04,-48160.29593004064,-90428.62485951823,-3758.052672098305,France,Normal
2023-05-05,-49462.816590432136,-96451.7265410142,-6658.048110647252,France,Normal
2023-05-06,-50495.17661527706,-94279.80240147334,-5720.209882136551,France,Normal
2023-05-07,-51441.574967981214,-97320.87188902192,-7891.729642466202,France,Normal
2023-05-08,-52304.43514225641,-95847.51693545302,-5815.990250915672,France,Normal
2023-03-10,18061.331606333562,-7482.164557410372,42317.23016582261,Germany,Normal
2023-03-11,19235.29680654365,-5368.941257399098,42993.752488224956,Germany,Normal
2023-03-12,20485.382304835817,-7654.890668528891,45080.93452696552,Germany,Normal
2023-03-13,21782.23018355595,-3595.0705983834455,47467.321371800135,Germany,Normal
2023-03-14,23113.016296286645,-3046.686355610331,49007.235515533306,Germany,Normal
2023-03-15,24492.498480761613,311.1869292066489,49869.45039479481,Germany,Normal
2023-03-16,25739.18636506862,794.2627499726798,52530.089769781065,Germany,Normal
2023-03-17,26975.134149888792,1811.2391232564607,52365.34679197431,Germany,Normal
2023-03-18,28030.24941865589,1768.9588490441577,53208.81612760855,Germany,Normal
2023-03-19,28948.02993869991,3032.512573450539,54394.82961775004,Germany,Normal
2023-03-20,29702.774610054825,3522.2813735905634,54318.9701903758,Germany,Normal
2023-03-21,30289.453859259884,5347.399975835987,55424.22017041508,Germany,Normal
2023-03-22,30734.581921850866,5764.648971158043,56003.15257845576,Germany,Normal
2023-03-23,30872.126139854638,6729.849127848066,58861.29526467504,Germany,Normal
